List of Listed Companies & Contact Information,,,,,,As of 16 Jun 2025,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
SGP,SIAMGAS AND PETROCHEMICALS PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"553 The Palladium Tower A, Floor 30, Ratchaprarop Road, Makkasan, Rajthevee Bangkok",10400,0-2120-9999,0-2250-6008,www.siamgas.com
SHANG,SHANGRI-LA HOTEL PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"89 SOI WATSUANPHLU, NEW ROAD, BANG RAK Bangkok",10500,0-2236-7777,0-2236-8579,www.shangri-la.com
SHR,S HOTELS AND RESORTS PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"123 Suntower Building B, 10th Floor, Vibhavadi-Rangsit Rd., Chom Phon, Chatuchack Bangkok",10900,0-2617-6467,-,http://www.shotelsresorts.com
SIAM,SIAM STEEL INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,"51 PUCHAOSAMINGPHRAI ROAD, AMPHOE PHRA PRA DAENG, Samut Prakarn",10130,"0-2384-2876, 0-2384-3000, 0-2384-3040",0-2384-2330,http://www.siamsteel.com
SICT,SILICON CRAFT TECHNOLOGY PUBLIC COMPANY LIMITED,mai,Technology,-,"No. 40 Thetsabanrangsannua Rd., Ladyao, Chatuchak Bangkok",10900,0-2589-9991,0-2589-8881,www.sic.co.th
SIMAT,SIMAT TECHNOLOGIES PUBLIC COMPANY LIMITED,mai,Technology,-,"123/143-144 Chalongkrung Road, Lamplatew, Ladkrabang Bangkok",10520,0-2326-0999,0-2326-1666,www.simat.co.th
SINGER,SINGER THAILAND PUBLIC COMPANY LIMITED,SET,Services,Commerce,"CAT TELECOM TOWER, FLOOR 17, 72 CHAROEN KRUNG ROAD BANG RAK Bangkok",10500,0-2352-4777,0-2352-4799,www.singerthai.co.th
SINO,Sino Logistics Corporation Public Company Limited,SET,Services,Transportation & Logistics,"No. 1011 Supalai Grand Tower 7th Floor Unit 05, Rama 3 Road, Chongnonsee, Yannawa Bangkok",10120,0-2687-0477,0-2687-0486,www.sinologistics.co.th
SIRI,SANSIRI PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"Siri Campus Building 59 Soi Rim Khlong Phra Khanong, Phra Khanong Nuea, Vadhana Bangkok",10110,0-2027-7888,0-2109-5479,http://www.sansiri.com
SIRIPRT,Siripinyo Real Estate Investment Trust,SET,Property & Construction,Property Fund & REITs,"90 Moo 1, Soi Siam Silo, Pu Chao Saming Phrai Road, Samrong Klang Subdistrict, Phra Pradaeng District Samut Prakarn",10130,0-2183-4567,-,-
SIS,SIS DISTRIBUTION (THAILAND) PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"9 Pakin Building, 9th Floor, Room No.901, Ratchadaphisek Road, Din Daeng Bangkok",10400,0-2020-3000,0-2020-3780,www.sisthai.com
SISB,SISB PUBLIC COMPANY LIMITED,SET,Services,Professional Services,"498/12 Soi Ramkhamhaeng 39 (Tepleela 1), Wangthonglang, Wangthonglang Bangkok",10310,0-2158-9072,0-2158-9091,http://www.sisb.ac.th
SITHAI,SRITHAI SUPERWARE PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"15 Suksawat Road, Soi 36, Bangpakok, Rasburana Bangkok",10140,0-2427-0088,"0-2427-7168, 0-2428-4418",www.srithaisuperware.com
SJWD,SCGJWD LOGISTICS PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"36 Krungthep Kreetha Rd., Huamark, Bangkapi Bangkok",10240,0-2710-4000,0-2710-4009,www.scgjwd.com
SK,SIRAKORN PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"53/35 Village No.8, Bangkrang Sub-district, Mueng Nonthaburi Nonthaburi",11000,0-2035-7100-3,0-2035-7104-5,http://www.sirakorn.co.th
SKE,SAKOL ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"15 Moo 1, Chiang Rak Noi, Samkhok Pathum Thani",12160,0-2026-3451,0-2026-3452,www.sakolenergy.com
SKN,S.KIJCHAI ENTERPRISE PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"Moo 7 Huaiyang, Klaeng Rayong",21110,0-3892-8188,0-3892-8189,http://www.skn.co.th
