List of Listed Companies & Contact Information,,,,,,As of 16 Jun 2025,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
TCJ,T.C.J. ASIA PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"3/4 MOO 9, BANGNA TRAD ROAD, K.M. 18, TAMBOL BANGCHALONG, AMPHOE BANG PHLI Samut Prakarn",10540,0-2312-6699,0-2312-6711,www.tcjasia.com
TCMC,TCM CORPORATION PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,"2054, New-Petchburi Road, Bangkapi Sub-district, Huaykwang District Bangkok",10310,0-2318-3960-2,0-2318-3962,www.tcm-corporation.com
TCOAT,THAI COATING INDUSTRIAL PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"99/9 MOO 8, 304 ROAD, NONGPHRONG, SRIMAHAPO, Prachinburi",25140,0-2464-3260-6,0-2463-5845,-
TEAM,TEAM PRECISION PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,"198 MOO 13, SUWANSORN ROAD, DONG-KHEE-LEK, MUEANG Prachinburi",25000,0-3740-3336-40,0-3740-3345,www.teampcba.com
TEAMG,TEAM CONSULTING ENGINEERING AND MANAGEMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"151 Nuan Chan Road, Nuan Chan, Bueng Kum Bangkok",10230,0-2509-9000,0-2509-9090,www.teamgroup.co.th
TEGH,Thai Eastern Group Holdings Public Company Limited,SET,Agro & Food Industry,Agribusiness,"No. 171 Moo 2 Chonburi-Klaeng Road, Khaosok Subdistrict, Nongyai District Chonburi",20190,0-3816-8555,0-3816-8560,www.thaieasterngroup.com
TEKA,TEKA CONSTRUCTION PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"28 Soi Ngamwongwan 6, Bang Khen Sub-District, Muang Nonthaburi District Nonthaburi",11000,0-2965-9995,-,https://www.tekacon.com
TERA,Terabyte Plus Public Company Limited,mai,Technology,-,"230, CS Tower, 12th floor, Ratchadapisek Road, Huay Kwang Bangkok",10310,0-2692-8731 Ext. 4,0-2692-8738,https://www.terabyteplus.com
TFFIF,THAILAND FUTURE FUND,SET,Services,Transportation & Logistics,"1 Empire Tower, 32nd Floor, South Sathorn Road, Yan Nawa, Sathorn Bangkok",10120,0-2686-6100,0-2670-0430,www.tffif.com
TFG,THAIFOODS GROUP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"1010 Shinawatra Tower 3,12th Fl., Viphavadi-Rangsit Road, Chatuchak Subdistrict, Chatuchak District Bangkok",10900,0-2513-8989,0-2513-9060,www.tfg.co.th
TFI,THAI FUTURE INCORPORATION PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"73/3 MOO 4, BANGNA-TRAT ROAD, KM 13, BANG PLEE Samut Prakarn",10540,"0-2316-9558 , 0-2750-1350-67","0-2316-9687,0-2316-6225",http://www.thaifutureinc.com
TFM,THAI UNION FEEDMILL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,"89/1 Moo 2, Rama 2 Road, Kalong Subdistrict, Mueang District Samut Sakhon",74000,0-3441-7222,0-3441-7255,www.thaiunionfeedmill.com
TFMAMA,THAI PRESIDENT FOODS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"304 Srinakarin Road, Huamark Subdistrict, Bangkapi District Bangkok",10240,0-2374-4730,0-2374-7743,http://www.mama.co.th
TGE,THACHANG GREEN ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"159, Moo 3, Tambon Tha Chang, Amphoe Tha Chang Surat Thani",84150,0-7727-7790,0-7727-7711,https://www.tge.co.th
TGH,THAI GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"315 Thai Group Building, 12th Floor, Silom Road, Silom, Bang Rak District Bangkok",10500,0-2632-1224,-,https://www.tgh.co.th
TGPRO,THAI-GERMAN PRODUCTS PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"99 HUAYPONG-NONGBON ROAD, TAMBOL HUAYPONG, AMPHUR MUANG Rayong",21150,0-3860-6061-5,0-3860-6066,www.tgpro.co.th
TH,TONG HUA HOLDING PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"877-881 NEW ROAD, TALATNOI, SAMPHANTHAWONG, Bangkok",10100,0-2236-9171-6,0-2238-5286,www.thaizhonghua.com
THAI,THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"89 VIBHAVADI RANGSIT ROAD, CHATUCHAK Bangkok",10900,"0-2545-1000, 0-2025-1000",0-2513-0203,http://www.thaiairways.com
THANA,THANASIRI GROUP PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"650, 652 Baromratchonnanee Road Bangbamru, Bangplad Bangkok",10700,0-2886-4888,0-2886-4878,http://www.thanasiri.com
THANI,RATCHTHANI LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"SINSATHORN TOWER, FLOOR 11 UP, 77/35-36 KRUNG THON BURI ROAD KHLONG TON SAI, KHLONG SAN Bangkok",10600,0-2431-9000,-,www.ratchthani.com
THCOM,THAICOM PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"349 SJ Infinite 1 Business Complex, 28th Floor, Vibhavadi Rangsit Road, Chompol Sub-district, Chatuchak District Bangkok",10900,0-2591-0736-49,"0-2591-0705, 0-2299-5252",www.thaicom.net
THE,THE STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"1401 Ekkachai Road, Bangbon Tai Sub-district, Bangbon District Bangkok",10150,0-2894-8889-90,0-2408-0272-4,www.thesteel.co.th
THG,THONBURI HEALTHCARE GROUP PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"34/1 Soi Itsaraphap 44, Ban Chang Lo, Bangkok Noi Bangkok",10700,0-2487-2000,0-2159-0336,http://www.thg.co.th/
THIP,THANTAWAN INDUSTRY PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"123 VIBHAVADI RANGSIT ROAD, CHATUCHAK Bangkok",10900,0-2273-8333,0-2617-6868-70,www.thantawan.com
THMUI,THAI MUI CORPORATION PUBLIC COMPANY LIMITED,mai,Services,-,"759 Chareonkrung Road, Taladnoi, Sumphantawong Bangkok",10100,0-2235-2940-9,"0-2236-8336, 0-2639-4022",www.thaimui.co.th
THRE,THAI REINSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"100/3-4, Sathorn Nakorn Tower, 3rd ? 4th Floor, North Sathorn Road, Silom, Bang Rak Bangkok",10500,"0-2660-6111, 0-2666-8088","0-2660-6100, 0-2666-8080",www.thaire.co.th
THREL,THAIRE LIFE ASSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"92/7 Sathorn Thani 2 Building, 6th Floor, North Sathorn Road, Silom, Bangrak Bangkok",10500,0-2666-9000,0-2277-6227,www.thairelife.co.th
TIDLOR,TIDLOR HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"428 Arii Hills, 15th Floor, Phaholyothin Road, Samsennai, Phayathai Bangkok",10400,08-8088-0880,-,-
TIF1,THAI INDUSTRIAL FUND 1,SET,Property & Construction,Property Fund & REITs,"989 Siam Piwat Tower, 9th, 24th Floor, Rama I Road, Pathumwan District Bangkok",10330,0-2659-8888,0-2659-8860-1,-
TIGER,THAI ENGER HOLDING PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"88 Moo 4, Bangsi Thong, Bang Kruai Nonthaburi",11130,0-2886-7608,0-2886-7609,www.thaienger.com
TIPCO,TIPCO FOODS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"118/1 Rama VI Road, Phaya Thai Sub-district, Phaya Thai District Bangkok",10400,0-273-6200,"0-2271-4304,0-2271-1600",http://www.tipco.net
TIPH,DHIPAYA GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"1115 Rama III Rd., Chong Nonsi, Yannawa Bangkok",10120,0-2239-2200,0-2239-2049,www.dhipayagroup.co.th
TISCO,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED,SET,Financials,Banking,"No. 48/49 TISCO Tower, Fl.21, North Sathorn Road, Silom Sub-district, Bangrak District Bangkok",10500,0-2633-6888,0-2633-6880,http://www.tisco.co.th
TITLE,RHOM BHO PROPERTY PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"444 - 444/1 Pracha Uthit Road, Huaykwang, Huaykwang District Bangkok",10310,0-2103-6444,0-2103-2444,www.thetitleresidence.com
TK,THITIKORN PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"69 RAMKHAMHAENG ROAD, HUAMAK, BANG KAPI Bangkok",10240,0-2310-7000,0-2318-3339,www.tk.co.th
TKC,TURNKEY COMMUNICATION SERVICES PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"44/44 Soi Vibhavadi Rangsit 60 Yaek 18-1-2, Talat Bang Khen Sub-district, Lak Si District Bangkok",10210,0-2401-8222,0-2940-9868,www.tkc-services.com
TKN,TAOKAENOI FOOD & MARKETING PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"No. 337, Bond Street, Bang Phut Sub-District, Pak Kret District Nonthaburi",11120,0-2984-0666,0-2984-0118,www.taokaenoi.co.th
TKS,T.K.S. TECHNOLOGIES PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"30/88 MOO 1, CHETSADAWITHI ROAD, KHOKKAM, MUEANG Samut Sakhon",74000,0-2784-5888 (50 Lines),"0-2784-5858, 0-2784-5860",http://www.tks.co.th
TKT,T.KRUNGTHAI INDUSTRIES PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"23 SOI CHAN 43 YAK 21, TUNGWATDON, SATHON Bangkok",10120,"0-2211-2762, 0-2211-3732, 0-2212-4719",0-2212-4864,www.tkrungthai.com
TL,TECHLEAD NPN PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,"50 Chulabhorn Science Research Center Building, 60th Anniversary, Faculty of Science Kasetsart University, 5th Floor, Ngamwongwan Road, Ladyao Subdistrict, Chatuchak District Bangkok",10900,0-2028-8348,-,www.eternalenergy.co.th
TLHPF,THAILAND HOSPITALITY PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"989 Siam Piwat Tower, 9th, 24th Floor, Rama I Road, Pathumwan District Bangkok",10330,0-2659-8888,0-2659-8860-1,www.one-asset.com
TLI,THAI LIFE INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"123 Thai Life Insurance Building, Ratchadaphisek Road, Din Daeng Bangkok",10400,0-2247-0247,0-2246-9946,http://www.thailife.com
TM,TECHNO MEDICAL PUBLIC COMPANY LIMITED,mai,Consumer Products,-,"29 Ladprao 92, Phlabphla, Wangthonglang Bangkok",10310,"0-2933-6112, 0-2933-6119",0-2933-9763,www.technomedical.co.th
TMAN,T.Man Pharmaceutical Public Company Limited,SET,Consumer Products,Personal Products & Pharmaceuticals,"69/1 Soi Bangkhunthian 14, Samaedum, Bangkhunthian Bangkok",10150,0-2415-1007,0-2416-1241,www.tmanpharmaceutical.com
TMC,T.M.C. INDUSTRIAL PUBLIC COMPANY LIMITED,mai,Industrial,-,"125/10 Moo 5 Bansuan Subdistrict, Muang District Chonburi",20000,0-3827-1933,0-3827-1931,www.tmc.co.th
TMD,THAI METAL DRUM MANUFACTURING PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"LAKE-RAJADA BLDG, FLOOR 35C,193/142 RAJADAPISEK ROAD, KHLONG TOEI, Bangkok",10110,0-2264-0817-9,0-2264-0820,www.thaimetaldrum.com
TMI,TEERA-MONGKOL INDUSTRY PUBLIC COMPANY LIMITED,mai,Industrial,-,"46/67-69 Soi Mang-Mee-sab, Moo 3, Leab Klong Siwapasawad Road, Kokkrabue, Muang Samut Sakhon",74000,0-3485-4629,0-3485-4630,www.thaiballast.com
TMILL,T S FLOUR MILL PUBLIC COMPANY LIMITED,mai,Agro & Food Industry,-,"90/9 Moo 1 Poochaosamingphrai Rd., Phrapradaeng Samut Prakarn",10130,0-2017-9999,"0-2017-9999 Ext.111,0-2017-9999 Ext. 222",www.tmill.co.th
TMT,TMT STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"BANGKOK CITY TOWER, FLOOR 22, 179 SOUTH SATHORN ROAD, TUNG MAHAMEK, SATHON Bangkok",10120,0-2685-4000,0-2670-9090-2,www.tmtsteel.co.th
TMW,THAI MITSUWA PUBLIC COMPANY LIMITED,mai,Industrial,-,"31 MOO 2, LARD LUM KAEW ROAD, AMPHOE MUEANG Pathum Thani",12000,"0-2581-5558-60, 0-2581-2157-61","0-2581-6160, 0-2581-3796",http://www.thaimitsuwa.com
TNDT,THAI NONDESTRUCTIVE TESTING PUBLIC COMPANY LIMITED,mai,Services,-,"19 SOI SUANSON 8, RAMKHAMHAENG ROAD, HUAMARK, BANG KAPI Bangkok",10240,0-2735-0801,0-2735-1941,www.tndt.co.th
TNH,THAI NAKARIN HOSPITAL PUBLIC COMPANY LIMITED,mai,Services,-,"No. 345 Debaratna Rd., km.3.5 Bangna Nuea, Bangna Bangkok",10260,"0-2340-6488, 0-2340-6499, 0-2340-7777",0-2340-6431,www.thainakarin.co.th
TNITY,TRINITY WATTHANA PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"1 Park Silom, 22nd Floor, Convent Road, Silom, Bangrak Bangkok",10500,0-2088-9100,0-2088-9399,www.trinitythai.com
TNL,THANULUX PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"129/1 CHONGNONSI ROAD, CHONGNONSI, YAN NAWA, Bangkok",10120,0-2080-0649,-,www.tnl.co.th
TNP,THANAPIRIYA PUBLIC COMPANY LIMITED,mai,Services,-,"329 Moo.8, Ban du, Muang Chiang Rai Chiang Rai",57100,0-5377-6144,-,www.thanapiriya.co.th
TNPC,THAI NAM PLASTIC PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"40 MOO 7, PETCHAKASEM ROAD, K.M. 23, OMNOI, KRATHUM BAEN Samut Sakhon",74130,"0-2810-3000, 0-2420-9968-74","0-2810-3933, 0-2420-1827, 0-2420-9967",www.thainam.com
TNPF,TRINITY FREEHOLD AND LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"44 CIMB THAI Bank Building, 16th Floor, Langsuan Road, Lumpini, Pathumwan Bangkok",10330,0-2686-9500,0-2657-3167,www.cimb-principal.co.th
TNR,THAI NIPPON RUBBER INDUSTRY PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,"1 Charoenrat Road, Thung Wat Don, Sathon Bangkok",10120,0-2210-8888,0-2210-8821,www.tnrcondom.com
TOA,TOA PAINT (THAILAND) PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"31/2 Moo 3, Bangna-Trad Road, Bang Sao Thong Samut Prakarn",10570,0-2335-5555,0-2312-8919,www.toagroup.com
TOG,THAI OPTICAL GROUP PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,"15/5 MOO 6 BANGBUATHONG-SUPHANBURI ROAD, TAMBOL LAHARN, AMPHOE BANG BUA THONG Nonthaburi",11110,0-2440-0506-7,0-2862-0705,http://www.thaiopticalgroup.com
TOP,THAI OIL PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"555/1 Energy Complex Building A, 11th Floor, Vibhavadi Rangsit Road, Chatuchak Bangkok",10900,"0-2797-2999, 0-2299-0000",0-2797-2970,www.thaioilgroup.com
TOPP,THAI O.P.P. PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"1741 JUN ROAD, THUNGMAHAMEK, SATHON Bangkok",10120,"0-2678-1051-5, 0-2285-4940","0-2285-4991, 0-2285-4942",www.topp.co.th
TPA,THAI POLY ACRYLIC PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"60-61 MOO 9, BHUDDHAMONTHON 4 ROAD, SAM PHRAN, Nakorn Phathom",73220,"0-2429-2020, 0-2429-2487-8, 0-2889-8720-5","0-2429-2541, 0-2429-2534, 0-2888-5951",http://www.thaipolyacrylic.com
TPAC,THAI PLASPAC PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"77 Soi Thian Thalae 30 Bang Khun Thian- Chay Thalae road, Tha Kham, Bang Khun Thian Bangkok",10150,0-2897-2250-1,0-2897-2426,www.thaiplaspac.com
TPBI,TPBI PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"42/174 Moo 5 Soi Srisatian Niwes, Raiking, Sampran Nakorn Phathom",73210,0-2429-0354-7,"0-2429-0358, 0-2812-5030",www.tpbigroup.com
TPCH,TPC POWER HOLDING PUBLIC COMPANY LIMITED,mai,Resources,-,"4/2 Soi Prasert-Manukitch 29 Yak 8 Prasert-Manukitch Rd. Chorakhebua, Ladprao District Bangkok",10230,0-2943-2935-6,-,http://www.tpcpower.co.th
TPCS,TPCS PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"No. 489 Rama 3 Road, Bang Khlo, Bang Kho Laem Bangkok",10120,0-2294-0071,-,www.tpcsplc.com
TPIPL,TPI POLENE PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"26/56 NEW JUN ROAD, THUNGMAHAMEK, SATHON Bangkok",10120,"0-2213-1039-49, 0-2285-5090-9","0-2213-1035, 0-2213-1038",http://www.tpipolene.co.th
TPIPP,TPI POLENE POWER PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"26/56 Chan Tat Mai Rd., Tungmahamek, Sathorn Bangkok",10120,"0-2285-5090-9, 0-2213-1039",0-2213-1035,www.tpipolenepower.co.th
TPL,Thai Parcels Public Company Limited,mai,Services,-,"1018 Luang Phaeng Rd, Thap Yao, Lat Krabang Bangkok",10520,0-2360-7788,0-2360-7525,www.thaiparcels.com
TPLAS,THAI PLASTIC INDUSTRIAL (1994) PUBLIC COMPANY LIMITED,mai,Industrial,-,"53/1 Moo 4 Kanjanapisek Rd., Bang MaeNang Sub-District, Bangyai District Nonthaburi",11140,0-2191-8288-9,0-2191-8290,http://www.tpic.co.th
TPOLY,THAI POLYCONS PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"2,4 Soi Prasoet Manukit 29 Yak 8, Prasoet Manukit Rd., Chorakhebua, Ladprao Bangkok",10230,"0-2942-6491-6, 0-2943-2930-8",0-2942-6497-8,www.thaipolycons.co.th
TPP,THAI PACKAGING & PRINTING PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"9/9 MOO 6, KINGKAEW ROAD, RAJADHEWA, BANG PLEE, Samut Prakarn",10540,"0-2175-2201-8, 0-2175-2210-6","0-2175-2209, 0-2175-2218",www.tpppack.com
TPRIME,THAILAND PRIME PROPERTY FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"388 Exchange Tower, 39th floor, unit 3903 Sukhumvit Road, Klongtoey, Klongtoey Bangkok",10110,0-2258-4515,0-2258-4519,www.tprimereit.com
TPS,THE PRACTICAL SOLUTION PUBLIC COMPANY LIMITED,mai,Technology,-,"No. 99 Soi Cement Thai, Ratchadapisek Road, Lad Yao, Chatuchak Bangkok",10900,0-2112-9999,0-2112-9998,https://www.thepractical.co.th
TQM,TQM ALPHA PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"123 Lat Pla Khao Road, Chorakhe Bua, Lat Phrao Bangkok",10230,0-2119-8888,0-2119-9000,https://www.tqmalpha.com
TQR,TQR PUBLIC COMPANY LIMITED,mai,Financials,-,"46/7 Rungrojthanakul Building, 8th Floor, Ratchadaphisek Road, Huay Khwang Sub-district, Huay Khwang District Bangkok",10310,0-2150-8560,0-2150-8563,https://www.tqr.co.th
TR,THAI RAYON PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"MAHATUN PLAZA BLDG, FLOOR 16,888/160-161 PLOENCHIT ROAD, PATHUMWAN, Bangkok",10330,"0-2626-6377,0-2626-6383","0-2254-3181, 0-2254-5472",www.thairayon.com
TRC,TRC CONSTRUCTION PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"No.8 Soi Sukhapiban 5 soi 32, Tha Raeng, Bang Khen District Bangkok",10220,0-2022-7777,0-2022-7788,www.trc-con.com
TRITN,TRITON HOLDING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,60 Soi Praditmanutham 19 Praditmanutham Road Kwang Ladprao Khet Ladprao Bangkok,10230,0-2553-5000,0-2553-5091,www.triton.co.th
TRP,Aesthetic Connect Public Company Limited,mai,Services,-,"2 Charoen Nakhon Road, Khlong San, Khlong San Bangkok",10600,0-2438-4444,-,teerapornclinic.com
TRT,TIRATHAI PUBLIC COMPANY LIMITED,mai,Industrial,-,"BANGPOO INDUSTRIAL ESTATE, 516/1 MOO 4, AMPHOE MUEANG Samut Prakarn",10280,0-2769-7699,-,www.tirathai.co.th
TRU,THAI RUNG UNION CAR PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"304 Macharoen Road, Nong Khang Phlu, Nong Khaem Bangkok",10160,"0-2420-0076, 0-2431-0065, 0-2431-0071-2","0-2812-0844, 0-2420-3664, 0-2814-5030",http://www.thairung.co.th
TRUBB,THAI RUBBER LATEX GROUP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,"99/1-3 BANGNA-TRAT ROAD,KM 7, BANGKAEW, BANG PLEE Samut Prakarn",10540,"0-2033-2333, 0-2033-2300-88",0-2033-2389-99,www.thaitex.com
TRUE,TRUE CORPORATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"18 True Tower, Ratchadaphisek Road, Huay Kwang Sub-District, Huay Kwang District Bangkok",10310,0-2859-1111,-,http://www.truecorp.co.th
TRV,T.R.V. RUBBER PRODUCTS PUBLIC COMPANY LIMITED,mai,Industrial,-,"40,88/8-9 Soi Ekkachai 76 Yak 1-3-1, Klong BangPhran, Bangbon Bangkok",10150,0-2451-1562-3,0-2451-2885,www.trvrubber.co.th
TSC,THAI STEEL CABLE PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"700/737 Moo. 1, Tambol Panthong, Amphur Panthong Chonburi",20160,0-3844-7200-205,-,www.tscpcl.com
TSE,THAI SOLAR ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"No. 725 S-Metro, 19th Floor, Sukhumvit Road, Klongton Nua, Wattana Bangkok",10110,0-2258-4530-3,0-2258-4534,http://www.thaisolarenergy.com
TSI,THE THAI SETAKIJ INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"87 M. Thai Tower, All Seasons Place, 15th Floor, Unit No. 1 and 4-6, Wireless Road, Lumpini, Phatumwan Bangkok",10330,0-2853-8888,0-2853-8889,www.tsi.co.th
TSR,TSR LIVING SOLUTION PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,"43/9, Moo 7, Soi Chuchat Arnusorn 4, Bang Talad Sub-District, Pakkred District Nonthaburi",11120,0-2819-8899,0-2962-6675,https://www.tsrplc.com
TSTE,TSTE PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"90 MOO 1,SOI SIAMSILO,POOCHAOSAMINGPRAI ROAD, PHRA PRADAENG Samut Prakarn",10130,0-2183-4567,"0-2183-4561, 0-2183-4562",www.tstegroup.com
TSTH,TATA STEEL (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"555 Rasa One (Building B), 20th Floor, Phaholyothin Road, Chatuchak, Chatuchak Bangkok",10900,0-2937-1000,0-2937-1223-4,www.tatasteelthailand.com
TTA,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"ORAKARN BLDG, 26/26-27 SOI CHIDLOM, PLOENCHIT ROAD, LUMPINI, PATHUM WAN Bangkok",10330,0-2250-0569-74,"0-2657-1038, 0-2655-5631",http://www.thoresen.com
TTB,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,SET,Financials,Banking,"3000 PHAHOLYOTHIN ROAD, JOMPOL, CHATU CHAK Bangkok",10900,"0-2299-1111, 0-2617-9111",0-2299-2758,https://www.ttbbank.com
TTCL,TTCL PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"159/41-44 SERM-MIT TOWER 27TH - 30TH FLOOR, SUKHUMVIT 21 (ASOKE), NORTH KLONGTOEY, WATTANA Bangkok",10110,0-2260-8505,0-2260-8525-6,www.ttcl.com
TTI,THAI TEXTILE INDUSTRY PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"385 SOI BANGMEKKHAO,SUKHUMVIT ROAD, AMPHOE MUEANG Samut Prakarn",10280,0-2703-8484,"0-2387-1983, 0-2387-0894",www.tti.co.th
TTLPF,TALAAD THAI LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"1 Empire Tower, 32nd Fl., South Sathorn Rd., Yannawa, Sathorn Bangkok",10120,0-2686-6100,0-2670-0430,-
TTT,TORAY TEXTILES (THAILAND) PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"5th Floor, Bubhajit Building, 20 North Sathorn Road, Silom, Bangrak Bangkok",10500,0-2266-6600-7,0-2238-3957-8,www.toray.co.th
TTW,TTW PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"30/130 Moo 12, Buddha Monthon 5 Road, Rai Khing, Sam Pran Nakorn Phathom",73210,"0-2019-9490-3, 0-2019-9484-9",0-2420-6064,http://www.ttwplc.com
TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"S.M.TOWER, FL M, 979/12 PHAHOLYOTHIN RD., PHAYATHAI, PHAYATHAI Bangkok",10400,"0-2298-0024, 0-2298-0537-41",0-2298-0553,thaiunion.com
TU-PF,T.U. DOME RESIDENTIAL COMPLEX LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"23A, 25 Floor, Asia Centre Building, 173/27-30, 32-33 South Sathon Road, Thungmahamek, Sathon Bangkok",10120,0-2786-2000,0-2786-2370-74,-
TURTLE,SUPER TURTLE PUBLIC COMPANY LIMITED,mai,Services,-,"333 Lao Peng Nguan 1 Tower, 24th Floor, Soi Choeiphuang, Vibhavadi-Rangsit Road, Chomphon, Chatuchak, Bangkok",10900,0-2091-5900,0-2091-5928,www.superturtle.co.th
TVDH,TVD HOLDINGS PUBLIC COMPANY LIMITED,mai,Services,-,"25 Watcharaphon Road, Tarang, Bangkhen Bangkok",10230,0-2666-0999,0-2666-0488,http://www.tvdirect.tv
TVH,THAIVIVAT HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"No. 71 , Dindaeng Road, Samsen Nai, Phayathai Bangkok",10400,"0-2200-7307-8,0-2200-7412",0-2248-4406,https://thaivivatholdings.com
TVO,THAI VEGETABLE OIL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"149 RAJADAPISEK RD (THAPHRA-TAKSIN), BUKHALO, THON BURI Bangkok",10600,0-2477-9020,"0-2477-9880, 0-2477-9894",www.tvothai.com
TVT,TV THUNDER PUBLIC COMPANY LIMITED,mai,Services,-,"1213/309 - 310 Soi Lardprao 94 (Panjamit) Srivara Road, Phlapphla, Wangthonglang Bangkok",10310,0-2559-0022,0-2559-3609,http://www.tvthunder.co.th
TWP,THAI WIRE PRODUCTS PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"101/88 Moo 20 Nava Nakorn Industrial Estate, Khlong Nueng, Khlong Luang Pathum Thani",12120,0-2520-3855-64,0-2520-3865-66,www.thaiwireproducts.com
